,Title,Agency,Department,Department_code,Techniques,Summary,Processed_Summary,Cluster,topics
266,Simulation-based inference for cosmology,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This project will develop and use simulation-based inference to estimate 
cosmological parameters related to cosmic acceleration in the early and 
late universe â via the cosmic microwave background and strong 
gravitational lensing, respectively. This will produce an analysis pipeline 
that can be deployed for next-generation cosmic surveys.",project develop use inference estimate cosmological parameters related cosmic acceleration early late universe via cosmic microwave background strong gravitational lensing respectively produce analysis pipeline deployed cosmic surveys,16,Topic_name: Internal operations
267,SONIC: AI acceleration as a service,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This project focuses on integration of AI hardware for at-scale inference 
acceleration for particle physics experiments.",project focuses integration ai hardware inference acceleration particle physics experiments,16,Service delivery: using AI to provide direct services either to the public or to state/local/tribal/territorial governments
268,Streamining intelligent detectors for sPHENIX/EIC,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This project develops real-time algorithms for event filtering with tracking 
detectors for nuclear physics collider experiments.",project develops algorithms event filtering tracking detectors nuclear physics collider experiments,16,Topic: Asset management
269,Uncertainty Quantification and Instrument Automation to enable next generation cosmological discoveries,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This project will develop AI-based tools to enable critical sectors for near-
future cosmic applications. Uncertainty quantification is essential for 
performing discovery science now, and simulation-based inference 
offers a new approach. The automated design and control of 
instrumentation will be important for improving the efficiency of planning 
and executing cosmic experiments.",project develop tools enable critical sectors future cosmic applications uncertainty quantification essential performing discovery science inference offers new approach automated design control instrumentation important improving efficiency planning executing cosmic experiments,16,Internal operations:
270,Deep Learning Malware Analysis for reusable cyber defenses.,Idaho National Laboratory,Department of Energy,DOE,MACHINE LEARNING,"The INL uses machine learning (feed forward neural network) on a large 
data set of translated malware binaries in graph structures to identify 
commonality between malware.",inl uses machine learning feed forward neural network large data set translated malware binaries graph structures identify commonality malware,18,Service delivery:
271,Geo Threat Observable for structure cyber threat related to the energy sector,Idaho National Laboratory,Department of Energy,DOE,,"Collection of open source threat inforamtion related to cyber issues in 
the energy sector, collected stored in graphdb and used in machine 
learning for similarities of threat enabling better reuse of cyber 
protections.",collection open source threat inforamtion related cyber issues energy sector collected stored graphdb used machine learning similarities threat enabling better reuse cyber protections,18,Service Delivery: use of AI to provide direct services either to the public or to state/local/tribal/territorial governments
272,"Advanced energy, batteries, and industrial efficiency",Lawrence Livermore National Laboratory,Department of Energy,DOE,,"Leveraging data science to navigate design space for better batteries 
and energy storage as well as scale up of various technologies",leveraging data science navigate design space better batteries energy storage well scale various technologies,10,"""Asset management"""
273,"Advanced materials science, engineering, and exploration relevant to the other key technology focus areas",Lawrence Livermore National Laboratory,Department of Energy,DOE,MACHINE LEARNING,"Enabling machine learning based technology to specialized materials for 
superior performance for scientific research and manufacturing systems",enabling machine learning based technology specialized materials superior performance scientific research manufacturing systems,11,Asset management
274,AI/ML and other software advances,Lawrence Livermore National Laboratory,Department of Energy,DOE,,"Model architecture development research, including workflows, 
algorithm and performance optimization",model architecture development research including workflows algorithm performance optimization,0,Service / benefits access
275,"Biology, genomics, and synthetic biology",Lawrence Livermore National Laboratory,Department of Energy,DOE,,"Combining experimental and computational methods to perform 
fundamental and applied research in genomics, molecular toxicology, 
nanotechnology, hostâpathogen biology, structural biology, genetics, 
microbial systems, and medical countermeasures",combining experimental computational methods perform fundamental applied research genomics molecular toxicology nanotechnology biology structural biology genetics microbial systems medical countermeasures,12,Topic: Other
276,"Cyber security, data storage, and data management technologies",Lawrence Livermore National Laboratory,Department of Energy,DOE,,"Data-processing pipelines and user interfaces to process and 
aggregate large, bulk, and possibly unstructured datasets allowing for 
search and export of data for further analysis in secure way",pipelines user interfaces process aggregate large bulk possibly unstructured datasets allowing search export data analysis secure way,18,"""Asset management: use of AI to manage both physical and digital assets"""
277,"High-performance computing, semiconductors, and advanced computer hardware",Lawrence Livermore National Laboratory,Department of Energy,DOE,,"Novel computer hardware architecture/configurations that can perform 
at the edge and/or in harsh environments",novel computer hardware perform edge harsh environments,16,Asset management
278,"Innovation methods, processes and promising practices that can affect the speed and effectiveness of innovation processes at scale.",Lawrence Livermore National Laboratory,Department of Energy,DOE,,"Computational approaches that lead to faster insights into the 
development and deployment of large scale operations",computational approaches lead faster insights development deployment large scale operations,18,Service Delivery
279,Natural and anthropogenic disaster prevention and mitigation,Lawrence Livermore National Laboratory,Department of Energy,DOE,,"Leveraging a broad, multimodal data stream to predict and understand 
natural disaster scenarios for the purposes of prevention and mitigation",leveraging broad multimodal data stream predict understand natural disaster scenarios purposes prevention mitigation,17,Service / benefits access
280,Quantum computing and information systems,Lawrence Livermore National Laboratory,Department of Energy,DOE,MACHINE LEARNING,"Machine learning and quantum computing applied towards optimization, 
quantum chemistry, material science, and cryptography",machine learning quantum computing applied towards optimization quantum chemistry material science cryptography,0,Service delivery
281,"Robotics, automation, and advanced manufacturing",Lawrence Livermore National Laboratory,Department of Energy,DOE,AI,"AI is being used for accelerating hardware development and 
interpretation of sensor data to improve process reliability",ai used accelerating hardware development interpretation sensor data improve process reliability,15,Service delivery
282,Advanced Image Segmentation,National Energy Technology Laboratory,Department of Energy,DOE,"NEURAL NETWORKS, OTHER","U-Net CNN segmentation to isolate pore and fluid from computed 
tomography scans of multiphase transport in cores.",cnn segmentation isolate pore fluid computed tomography scans multiphase transport cores,3,Service delivery
283,Advanced model to forecast offshore landslide risks and marine geohazards,National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, NATURAL LANGUAGE PROCESSING, OTHER","This research will use data and models from the Offshore Risk Modeling 
(ORM) with intelligent databases, artificial intelligence (AI)/ML, big data, 
and other advanced computing technologies to address offshore 
subsurface natural-engineered system challenges, such as 
characterization and mapping of geologic hazards, safe operations, 
equipment reliability, and environmental assessments.",research use data models offshore risk modeling orm intelligent databases artificial intelligence ai big data advanced computing technologies address offshore subsurface system challenges characterization mapping geologic hazards safe operations equipment reliability environmental assessments,11,Service delivery
284,AI used to interpret sensor data.,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"AI is being used to classify sensor data.  An AI algorithm was written 
and trained with a wide range of known sensor conditions to enable 
automatic classification of sensor data into likely constituent gas 
concentrations.",ai used classify sensor data ai algorithm written trained wide range known sensor conditions enable automatic classification sensor data likely constituent gas concentrations,15,"""Asset management"""
285,"AI/ML may be needed to extract data from text, image and tabular- based resources. NEWTS is partnering with university teams to use ML to fill in data gaps using predictive models.",National Energy Technology Laboratory,Department of Energy,DOE,"NATURAL LANGUAGE PROCESSING, OTHER","NEWTS data requirements and database structure needs will be 
established by reviewing datasets and literature on energy-water 
streams. Data sources will be identified from regulatory agencies, 
government monitoring programs, as well as open-source literature. 
Metadata of each source will be compiled into a data catalog for 
tracking and reference. Datasets, including high-quality composition 
data for relevant streams, will be collected and downloaded. Acquired 
data will be processed into a structured format based on the 
prioritization of datasets to be included in NEWTS. Data acquisition and 
processing might entail the application of ML (e.g., natural language 
processing) to efficiently resurrect data trapped in historical reports 
(e.g., PDFs) or other unstructured formats. One research product of this 
subtask will be a release of the data catalog, which will be made 
available on",newts data requirements database structure needs established reviewing datasets literature streams data sources identified regulatory agencies government monitoring programs well literature metadata source compiled data catalog tracking reference datasets including composition data relevant streams collected downloaded acquired data processed structured format based prioritization datasets included newts data acquisition processing might entail application ml natural language processing efficiently resurrect data trapped historical reports pdfs unstructured formats one research product subtask release data catalog made available,7,Topic: Asset management
286,AI/ML methodology for rapid design of sorbents tuned to specific ash impoundment and/or landfill requirements.,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"Computation of the descriptors (atomic property-weighted radial 
distribution functions) that will be used for the ML portion of the task; 
Fitting of a machine-learned model for the prediction of B sorption; 
Optimization and computational design of a sorbent for maximum 
sorption of B as a function of B concentration in the aqueous solution; 
Force field generation for an additional pollutant (if needed); Sorption 
calculations and ML fitting for the second pollutant (TBD); Optimization 
and computational design of a sorbent for maximum sorption of the 
second pollutant as a function of pollutant concentration in the aqueous 
solution.",computation descriptors atomic radial distribution functions used ml portion task fitting model prediction b sorption optimization computational design sorbent maximum sorption b function b concentration aqueous solution force field generation additional pollutant needed sorption calculations ml fitting second pollutant tbd optimization computational design sorbent maximum sorption second pollutant function pollutant concentration aqueous solution,0,Other
287,Analysis to Assess Offshore CCS Trends and Gaps,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"Providing expertise, input, and support for the development of a DOE 
(NETL/FECM) carbon storage technical resources catalog that 
facilitates searching for information about datasets, models and tools, 
publications and reports, and competencies resulting from DOE-
FECM/NETLâs offshore and CSP activities.  this project will complete a 
review and analysis of knowledge and data resources resulting from 
international offshore CCS projects. Outcomes of this analysis are 
expected to include the integration of key data and tools into the EDX-
hosted Open Carbon Storage Database and DisCO2ver platform (in 
development via the EDX4CCS FWP), as well as geo-data science 
based analysis and recommendations on geologic and metocean 
insights from international studies and their alignment or relevance to 
U.S. Federal offshore settings.",providing expertise input support development doe carbon storage technical resources catalog facilitates searching information datasets models tools publications reports competencies resulting offshore csp activities project complete review analysis knowledge data resources resulting international offshore ccs projects outcomes analysis expected include integration key data tools hosted open carbon storage database platform development via fwp well science based analysis recommendations geologic metocean insights international studies alignment relevance federal offshore settings,17,Topic: Asset management
288,ANN Submodels of Reaction Physics,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,ANN development of flow physics for code acceleration,ann development flow physics code acceleration,16,Topic: Asset management
289,Computational capabilities to support experimental efforts,National Energy Technology Laboratory,Department of Energy,DOE,,"This subtask will leverage NETLâs in-house computational capabilities 
and existing university collaborators to support experimental efforts by 
providing atomic-level DFT and microkinetic modeling calculations for 
catalyst systems. This work provides atomic-level details on reaction 
energetics and establishes key structure-property relationships used to 
optimize catalyst structure and formulation.",subtask leverage computational capabilities existing university collaborators support experimental efforts providing dft microkinetic modeling calculations catalyst systems work provides details reaction energetics establishes key relationships used optimize catalyst structure formulation,17,Asset management: use of AI to manage both physical and digital assets
290,Computational methods for the characterization of CO2 chemisorption in amine- functionalized MOFs.,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"Databases of MOFs will be screened using computational methods to 
identify promising MOFs. Software will be further developed to allow for 
the addition of desirable functional groups (amines) to metal centers 
and/or ligands of MOFs. The team will calculate the reaction enthalpy for 
CO2 sorption in amine functionalized MOFs and further computational 
methods for the characterization of CO2 chemisorption in amine-
functionalized MOFs will be developed.",databases mofs screened using computational methods identify promising mofs software developed allow addition desirable functional groups amines metal centers ligands mofs team calculate reaction enthalpy sorption amine functionalized mofs computational methods characterization chemisorption functionalized mofs developed,3,Asset management
291,Creation of polymer datasets and inverse design of polymers with targeted backbones having High CO2 permeability and high CO2/N2 selectivity.,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"Machine learning models were developed to predict CO2 permeability 
and CO2/N2 selectivity of polymers. Novel methods were developed to 
generate polymer datasets. Furthermore, a novel machine learning 
technique is being developed to inverse design the polymers that will 
have targeted properties.",machine learning models developed predict permeability selectivity polymers novel methods developed generate polymer datasets furthermore novel machine learning technique developed inverse design polymers targeted properties,1,Asset management
292,"Data discovery, processing, and generation using machine learning for a range of CCS data and information",National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, NATURAL LANGUAGE PROCESSING, OTHER","The team will focus on supporting ongoing geospatial data collection 
and publishing efforts leveraging the new EDX++ cloud computer 
capabilities through ArcGIS Enterprise Portal. The use of Arc Enterprise 
Portal will support the development of the Carbon Matchmaker tool, as 
well as support the release of a new version of GeoCube, which will be 
host to the updated Carbon Storage Open Database and NATCARB 
completed in EY21. NETL is supporting DOE-FECM in developing and 
releasing a survey and map for the Carbon Matchmaker, a tool 
developed to enable stakeholders to self-identify carbon dioxide related 
activities (production, utilization, storage, direct air capture, and 
infrastructure/transportation) to identify and connect stakeholders and 
support national collaborative opportunities. The ArcGIS Enterprise 
Portal will be leveraged to build out a new version of GeoCube with the 
migration of hundreds of spatial data layers into the new platform. The 
migration of data to an Arc Enterprise based GeoCube will enable 
easier version control for data integration and curation.",team focus supporting ongoing geospatial data collection publishing efforts leveraging new cloud computer capabilities arcgis enterprise portal use arc enterprise portal support development carbon matchmaker tool well support release new version geocube host updated carbon storage open database natcarb completed netl supporting developing releasing survey map carbon matchmaker tool developed enable stakeholders carbon dioxide related activities production utilization storage direct air capture identify connect stakeholders support national collaborative opportunities arcgis enterprise portal leveraged build new version geocube migration hundreds spatial data layers new platform migration data arc enterprise based geocube enable easier version control data integration curation,17,Topic: Asset management
293,"Data platform to expedite access and reuse of carbon ore data for materials, manufacturing and research",National Energy Technology Laboratory,Department of Energy,DOE,"NATURAL LANGUAGE PROCESSING, OTHER","Data platform to expedite access and reuse of carbon ore data for 
materials, manufacturing and research.  Assembled using data science, 
NLP methods, and hosted in virtual, multi-cloud platform for online 
analytics.",data platform expedite access reuse carbon ore data materials manufacturing research assembled using data science nlp methods hosted virtual platform online analytics,7,Service delivery: use of AI to provide direct services either to the public or to state/local/tribal/territorial governments
294,Database will be utilized to demonstrate targeted biocide strategies using AI to assess large DNA datasets.,National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, OTHER","The team will develop a public DNA database that will advance 
knowledge in produced water management. This project consists of two 
phases: (1) the development and launching of the database, and (2) the 
demonstration of applicability of the database by conducting a network 
analysis. The work will be pursued as defined in the phases below. The 
fully characterized streams will be used by other FWPs to estimate 
overall resource recovery and will be used by other FWPs as training 
set for machine learning (ML) models to predict compositions when only 
limited measurements can or have been completed for the produced 
water.",team develop public dna database advance knowledge produced water management project consists two phases development launching database demonstration applicability database conducting network analysis work pursued defined phases fully characterized streams used fwps estimate overall resource recovery used fwps training set machine learning ml models predict compositions limited measurements completed produced water,3,Asset management: use of AI to manage both physical and digital assets
295,Demonstrate how ML-based approaches can help operators during active injection and post- injection monitoring,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"To demonstrate how ML-based approaches can help operators during 
active injection and post-injection monitoring, it is necessary to 
understand their needs and identify how ML-based approaches can 
potentially meet or support those needs. Task 4 will establish data-
sharing protocols between SMART and the operator to create an 
exchange mechanism that is not intrusive to the operator and provides 
updates from ML results designed to enhance the operator decision 
process. Demonstrate application of ML-based approaches to improve 
site-monitoring and operations efforts performed during injection and 
post-injection phases, e.g., using IL-ICCS data, and developing value of 
information guidelines.",demonstrate approaches help operators active injection monitoring necessary understand needs identify approaches potentially meet support needs task establish sharing protocols smart operator create exchange mechanism intrusive operator provides updates ml results designed enhance operator decision process demonstrate application approaches improve operations efforts performed injection phases using data developing value information guidelines,7,Service / benefits access
296,Demonstrate the robust performance of our ML method in a commercial-scale synthetic data and integrate image-to-image mapping with convolutional neural networks,National Energy Technology Laboratory,Department of Energy,DOE,"NEURAL NETWORKS, OTHER","Our method quickly incorporates streaming observations for accurate 
and timely forecasts with uncertainty quantification, taking reservoir 
simulation data as inputs and incorporating real-time observation 
streams for accurate, timely geological carbon storage forecasts.
Computation effort is distributed over many machines, facilitates 
coupled inversions using many ML models, and allows for ML-Driven 
optimization and sensitivity analysis",method quickly incorporates streaming observations accurate timely forecasts uncertainty quantification taking reservoir simulation data inputs incorporating observation streams accurate timely geological carbon storage forecasts computation effort distributed many machines facilitates coupled inversions using many ml models allows optimization sensitivity analysis,5,Service / benefits access
297,Develop and demonstrate reinforcement learning approach for time-varying control for flexible hydrogen and power production.,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"Efforts on IES control will include the development of a dynamic 
optimization-based nonlinear model predictive control (NMPC) 
framework. NMPC approaches for optimizing cell thermal management 
and maximizing IES efficiency under set-point transition will be 
developed for flexible operation. Reinforcement learning (RL) 
approaches will also be developed for optimal control policy selection 
and learning-based adaptive control. There are opportunities for 
improved learning through interaction with the electrolyzer in addition to 
learning from the MPC action. Multi-policy approaches will be developed 
for control, independently by RL or in concert with MPC, or even for 
scheduling the operating policy.  The ultimate goal is to develop 
operational strategies and an NMPC and RL control framework for 
optimizing IES performance under flexible hydrogen and power 
production scenarios, while minimizing physical and chemical 
degradation over long-term operation.",efforts ies control include development dynamic nonlinear model predictive control nmpc framework nmpc approaches optimizing cell thermal management maximizing ies efficiency transition developed flexible operation reinforcement learning rl approaches also developed optimal control policy selection adaptive control opportunities improved learning interaction electrolyzer addition learning mpc action approaches developed control independently rl concert mpc even scheduling operating policy ultimate goal develop operational strategies nmpc rl control framework optimizing ies performance flexible hydrogen power production scenarios minimizing physical chemical degradation operation,19,Topic: Asset management
298,Develop fast predictive models using novel machine-learning based methods.,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"Accurate, fast predictive ML models form the foundation for the virtual 
learning platform. Generating training data then developing ML based 
models enables a Virtual Learning Environment (VLE) for exploring and 
testing strategies to optimize reservoir development, management & 
monitoring prior to field activities.",accurate fast predictive ml models form foundation virtual learning platform generating training data developing ml based models enables virtual learning environment vle exploring testing strategies optimize reservoir development management monitoring prior field activities,7,Service delivery
299,"Develop, integrate, and automate the reduction of CFD models while preserving acceptable levels of accuracy. In general for CCSI2, this work intends to focuse on CFD applications.",National Energy Technology Laboratory,Department of Energy,DOE,"NEURAL NETWORKS, OTHER","Will leverage state-of-the-art, physics-based deep learning (DL) models 
to learn generalizable surrogates that may be used in place of CFD 
models to predict quantities required for downstream optimization. The 
products from this subtask can be immediately leveraged by other 
subtasks that are seeking to speed up their CFD simulation models to 
streamline their downstream analyses. Addtionally, improvements to the 
ML/AI interface in FOQUS. Includes support for vector variables in the 
ML/AI plugin and support for additional surrogate model tools (e.g., 
PyTorch, Sci-kit Learn) and additional normalization function forms in 
the ML/AI plugin.",leverage deep learning dl models learn generalizable surrogates may used place cfd models predict quantities required downstream optimization products subtask immediately leveraged subtasks seeking speed cfd simulation models streamline downstream analyses addtionally improvements interface foqus includes support vector variables plugin support additional surrogate model tools pytorch learn additional normalization function forms plugin,0,Asset management
300,Development of AI/ML methods,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"Develop quality, reliability, and version control standards for SMART 
software. Continue development of AI/ML methods for use by the 2A 
and 2C activities, including Modeling anomalies due to local 
heterogeneity coupled with an enhanced capacitance-resistance model 
(CRM) and Bayesian Belief Network (BBN) modeling integrated with 
geochemistry. Continue development of advanced computational 
approaches with modeling using the most advanced general purpose 
PDE/ODE physics-informed neural network (PINN) tool developed by 
NVIDIA and accelerate training PINNs using Wafer Scale Engine (WSE) 
by Cerebras Systems Inc.",develop quality reliability version control standards smart software continue development methods use activities including modeling anomalies due local heterogeneity coupled enhanced model crm bayesian belief network bbn modeling integrated geochemistry continue development advanced computational approaches modeling using advanced general purpose neural network pinn tool developed nvidia accelerate training pinns using wafer scale engine wse cerebras systems inc,19,Asset management
301,"Development of new machine learning-based process modeling capabilities that assess the viability and efficiency, with uncertainty quantification, of the chemical processes involved in the carbon fiber production and its output quality",National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"Provide sub-pilot-scale verification of lab-scale developments on the 
production of isotropic and mesophase coal-tar pitch (CTP) for carbon 
fiber production, using coals from several U.S. coal-producing regions. 
An extensive database and suite of tools for data analysis and economic 
modeling, with an associated web-based community portal, will be 
developed to relate process conditions to product quality, and to assess 
the economic viability of coals from different regions for producing 
specific high-value products.",provide verification developments production isotropic mesophase pitch ctp carbon fiber production using coals several regions extensive database suite tools data analysis economic modeling associated community portal developed relate process conditions product quality assess economic viability coals different regions producing specific products,5,Asset management
302,DOE AI Data Infrastructure System,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, OTHER","Leveraging generative AI and cloud enabled data infrastructure to 
improve CCS user experience and connectivity producing an adaptive 
user interface that streamlines connection of CCS stakeholders to what 
matters to them.",leveraging generative ai cloud enabled data infrastructure improve ccs user experience connectivity producing adaptive user interface streamlines connection ccs stakeholders matters,6,Service / benefits access
